 ,tweet,target
2022-01-27,Bagaimana pemerintah bisa menjamin hak masyarakat asli dan penduduk yang terdampak proyek IKN. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,Pemindahan ibu kota seakan-akan dipaksakan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,UU IKN seolah-olah menjadi peraturan yang dipaksakan pengesahannya. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #593d,0
2022-01-27,"Pengusaha untung menggunung, Rakyat Buntung !! #AyoTolakUUIKN !! Tolak UU IKN",0
2022-01-27,"Pemindahan ibu kota negara adalah proyek oligarki, wajib ditolak oleh semua rakyat &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;",0
2022-01-27,Semoga proyek memubazirkan uang rakyat ini segera dihentikan secepatnya. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"IKN menguntungkan oligarki tapi membingungkan rakyat banyak &gt;&gt; #AyoTolakUUIKN &lt;&lt; 

#10sk",0
2022-01-27,UU IKN yang telah disahkan oleh pemerintah harus dikoreksi dan ditolak. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,"Kami rakyat serdang bedagai tolak IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; 

#8kxm",0
2022-01-27,Meski ribuan masyarakat resah proyek IKN tetap berlangsung. --&gt; #AyoTolakUUIKN &lt;--  #jn6p,0
2022-01-27,Anggaran gede manfa'at minim &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #29rc,0
2022-01-27,"Rakyat patut waspada, ada kapitalis kapitalis rakus dibalik pindah nya ibu kota &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;",0
2022-01-27,UU IKN mengancam kelestarian flora fauna Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Proyek IKN yang ratusan trilyun akan menambah beban rakyat dengan hutang yang sudah ribuan trilyun &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Blm selesai membebani rakyat? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #swkj,0
2022-01-27,"#UUIKNMendzalimiRakyat 

Yang diharapkan oleh rakyat adalah kesejahteraan dan kemakmuran bukan pemindahan ibu kota. IKN Proyek Oligarki",0
2022-01-27,Sebenarnya ibukota baru ini buat siapa sih? &gt;&gt; #AyoTolakUUIKN &gt;&gt; Tolak UU IKN,0
2022-01-27,Semua orang juga tahu kalau proyek ini adalah proyek bodong yang justru akan membuat rakyat celaka dan menderita. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"Proyek IKN memang menggiurkan tapi tidak untuk rakyat#AyoTolakUUIKN
#StopKebijakanDzalim
#UUIKNMendzalimiRakyat
#UUIKNMeresahkan
#IKNProyekOligarki
#TolakUUIKN",0
2022-01-27,"Proyek IKN hanya menguntungkan Oligarki, tanpa memikirkan beban hidup masyarakat yang kian sekarat. --&gt; #AyoTolakUUIKN",0
2022-01-27,"Sudah banyak ahli menyampaikan ketidak layakan tempat ibu kota baru tapi tidak dihiraukan, ini semua karena hegemoni kapitalis untuk proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;",0
2022-01-27,"#UUIKNMendzalimiRakyat 

Rakyat akan semakin diperas lewat pajak yang akan membiayai proyek IKN #StopKebijakanDzalim",0
2022-01-27,Undang-Undang IKN terlalu cepat diputuskan tanpa adanya partisipasi publik --&gt; #UUIKNMendzalimiRakyat &lt;--  #g3ko,0
2022-01-27,Mustahil jika Pemindahan Ibu Kota ini tidak dijadikan proyek yang menguntungkan para oligarki. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,Proyek IKN wujud nyata cengkeraman pemilik modal atas penguasa. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,UU IKN unfaedah. malah akan menjadi kanker yang akan menggerogoti negeri ini dengan berbagai permasalahan turunan dari realisasi proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,trus kalau gagal bayar utang IKN gmn? &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #zv7e,0
2022-01-27,"IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. &gt;&gt; #UUIKNMendzalimiRakyat 
&lt;&lt; #StopKebijakanDzalim &gt;&gt;",0
2022-01-27,UU IKN unfaedah. malah akan menjadi kanker yang akan menggerogoti negeri ini dengan berbagai permasalahan turunan dari realisasi proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,UU IKN disahkan tanpa persetujuan rakyat. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"UU IKN hanya utk golongan tertentu saja

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki",0
2022-01-27,Rakyat akan semakin tercekik dengan pajak dan utang yang dibebankan utk proyek IKN. &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; IKN Proyek Oligarki,0
2022-01-27,Kami rakyat serdang bedagai tolak IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,"Tidak habis pikir, meski penolakan² &amp; berbagai pandangan dilontarkan tentang dampak buruk dari pindahnya IKN, namun pemerintah tetep kekeh untuk segera merealisasikannya, ono opo toh???
#AyoTolakUUIKN
#UUIKNMendzalimiRakyat",0
2022-01-27,"Ya Allah, jadikanlah kaum muslimin menjadi sadar akan syariah Mu, hingga mereka menjadi ghirah untuk perjuangan ini.  #AyoTolakUUIKN #UUIKNMeresahkan Tolak UU IKN #qoaj",0
2022-01-27,"Bahlil menyebut kementeriannya menjadi garda terdepan ihwal investasi untuk pembangunan ibu kota baru. Sebab, semua modal terutama dari asing, masuk lewat kementeriannya. https://t.co/jaZAbKRWB4",1
2022-01-27,"Kawal Proses Pemindahan Ibu Kota Negara ke Kaltim, MPR Susun TAP MPR https://t.co/26f4Lw0JTp",1
2022-01-27,IKN hanya menguntungkan para kaum kapitalis &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,Semua rakyat harus sadar dan menolak UU IKN ini. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,0
2022-01-27,Proyek IKN mengancam keutuhan ekologi dan lingkungan Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #vz4z,0
2022-01-27,UU IKN disinyalir sebagai wujud pemutihan dosa-dosa korporasi di Kalimantan Timur. --&gt; #UUIKNMendzalimiRakyat,0
2022-01-27,Tolak pindah nya ibu kota Dukung diterapkanya penerapan syariah di ibukota yang ada !! #AyoTolakUUIKN !! Tolak UU IKN,0
2022-01-27,"Beginilah wujud nyata pemimpin yang dihasilkan oleh sistem demokrasi.

#AyoTolakUUIKN
Tolak UU IKN",0
2022-01-27,IKN proyek ugal-ugalan para elit politik &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,UU IKN = Ugal-Ugalan IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,"Masih banyak yg perlu dibenahi, rakyat masih banyak yg menderita, pindah IKN buru2 pakai APBN atau Hutang, tetap saja ujungnya Rakyat yang menderita. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #entj",0
2022-01-27,Sebenarnya mereka digaji untuk apa? para elit politik gajinya dari mana? yuuk tolak rame-rame pemindahan ibukota... !! #AyoTolakUUIKN !! Tolak UU IKN,0
2022-01-27,"Rakyat butuh kesejahteraan, bukan ibu kota baru &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;",0
2022-01-27,Keperadaan Idelogi Kapitalisme menjadi dalang dari lahirnya kebijakan IKN. Para kapitalis meraup untung dalam proyek ini tanpa mempertimbangkan kesejahteran rakyat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #f0i0,0
2022-01-27,Jangan sampai ibu kota baru jadi ibu tiri yang kerjanya menyengsarakan rakyat dengan hutang APBN yang semakin menggunung. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Rakyat akan semakin tercekik dengan pajak dan utang yang dibebankan utk proyek IKN. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #afam,0
2022-01-27,UU IKN disahkan tanpa persetujuan rakyat. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt; https://t.co/7qO1CmG8o9,0
2022-01-27,"#AyoTolakUUIKN 

Dana pindah ibu kota lebih baik dialokasikan untuk mengembalikan aset negara yang terjual. #UUIKNMeresahkan",0
2022-01-27,Pemindahan ibu kota hanya akan menjadi beban anggaran belanja negara &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,0
2022-01-27,Proyek oligarki IKN adalah wujud nyata kedzaliman sistem kapitalisme &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"Selaku warga yang baik kami wenolak perpindahan ibu kota baru, kenapa tidak di benahi saja ibu kota negara yang ada &gt;&gt; #AyoTolakUUIKN &lt;&lt; 

#hm55",0
2022-01-27,"Proyek IKN hanya menguntungkan Oligarki, tanpa memikirkan beban hidup masyarakat yang kian sekarat. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #dpv8",0
2022-01-27,"Rakyat sibuk pemulihan ekonomi, Pemerintah sibuk pindah Ibu Kota &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,Kita sedang berada pada masa kritis lah kenapa APBN malah digunakan untuk hal yang kurang faedah? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,Jangan sampai ibu kota baru jadi ibu tiri yang kerjanya menyengsarakan rakyat dengan hutang APBN yang semakin menggunung. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #zmp6,0
2022-01-27,"Untuk siapa IKN sebenarnya??? Dari analisa, tidak ada hal yang mendesak sehingga harus pindah ibukota segera &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #e3zc",0
2022-01-27,UU IKN adalah bentuk legitimasi hukum atas kerusakan yang disebabkan oleh kebijakan pemerintah. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #uidr,0
2022-01-27,Pemindahan Ibu Kota ditengah karut marut ekonomi?? NO WAY!! &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"#AyoTolakUUIKN 

Pemindahan Ibu Kota ditengah karut marut ekonomi?? NO WAY!! Tolak UU IKN",0
2022-01-27,Pemindahan ibu kota negara adalah wujud nyata dari realisasi kepentingan oligarki &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"#AyoTolakUUIKN 

Ketika sistem pemerintahan kita bernuansa kapitalisme, maka kepentingan kapitalis dan oligarki diatas segalanya. Tolak UU IKN",0
2022-01-27,"Tolak proyek IKN, tolak proyek gagasan oligarki. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,"Masyarakat banyak nolak UU IKN, tentu uu ini harus d batalkan segera &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;",0
2022-01-27,Hentikan proyek tidak masuk akal ini. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Undang-undang Ibu Kota Negara tersebut membuat APBN bengkak.. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #kppd,0
2022-01-27,"Proyek IKN membuka peluang besar para oligarki untuk bermain curang, securang²nya. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;",0
2022-01-27,"Ngotot proyek IKN, apa ada yang pesen?? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #zrd5",0
2022-01-27,"Proyek IKN berpotensi besar membebani APBN dalam waktu lama, yang dirugikan lagi2 rakyat. Maka harus di tolak &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #qu3q",0
2022-01-27,"Pemindahan IKN Tetap dijalankan, bisa dipastikan Kemiskinan makin bertambah. Pengangguran makin bertambah.

#AyoTolakUUIKN
#StopKebijakanDzalim
#UUIKNMendzalimiRakyat 
#TolakIbukotaBaru 
#TolakUUIKN https://t.co/jxk6QpCysw",0
2022-01-27,"IKN Akan Segera Dipindah, Pemuda Kalteng Harus Mampu Tangkap Peluang https://t.co/4mBmN6nA1M",1
2022-01-27,"Daripada habisin anggaran buat pindahin ibukota, mending bagiin anggarannya ke rakyat secara merata &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,undang-undang ibu kota negara hanya akan membuat beban negara makin berat aja &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,"Sudah banyak ahli menyampaikan ketidak layakan tempat ibu kota baru tapi tidak dihiraukan, ini semua karena hegemoni kapitalis untuk proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;",0
2022-01-27,Segenap elemen bangsa harus menjadi garda terdepan untuk menolak UU yang akan menyengsarakan rakyat. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"Proyek IKN adalah bancakannya oligarki : Penguasa - Politisi - Pengusaha, demi meraup cuan untuk diri, keluarga dan golongannya &gt;&gt; #AyoTolakUUIKN &gt;&gt; #UUIKNMeresahkan",0
2022-01-27,Kami tolak Pemindahan Ibu Kota Negara &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,"#UUIKNMendzalimiRakyat 

IKN hanya menguntungkan para kaum kapitalis #StopKebijakanDzalim",0
2022-01-27,UU IKN adalah produk para kapitalis yang serakah. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,UU IKN akan menyengsarakan rakyat --&gt; #UUIKNMendzalimiRakyat,0
2022-01-27,IKN Proyek Ngawur Poool &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,"#UUIKNMendzalimiRakyat 

UU IKN yang telah disahkan oleh pemerintah harus dikoreksi dan ditolak. #StopKebijakanDzalim",0
2022-01-27,Proyek IKN Baru untuk kepentingan siapa sich? &gt;&gt; #AyoTolakUUIKN &gt;&gt; Tolak UU IKN,0
2022-01-27,"Proyek IKN membuka peluang besar para oligarki untuk bermain curang, securang²nya. !! #AyoTolakUUIKN !! #UUIKNMeresahkan",0
2022-01-27,Yg dipindah mesti ny bukan ibukota ny..tapi sistem demokrasi ny..ketempat sampah &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,Bagaimana pemerintah bisa menjamin hak masyarakat asli dan penduduk yang terdampak proyek IKN. &gt;&gt; #AyoTolakUUIKN &gt;&gt; Tolak UU IKN,0
2022-01-27,"Tidak ada kondisi yang mendesak yang mewajibkan pindahnya ibu kota !! #AyoTolakUUIKN !! Tolak UU IKN 
https://t.co/Xh2Ah2c2Nl https://t.co/IaqO8ydsWI",0
2022-01-27,Rakyat harus paham para oligarki sedang mengatur proyek ibu kota baru &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt; https://t.co/usji9x5D8k,0
2022-01-27,Memindahkan ibu kota tak semudah pindah kontrakan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,IKN adalah turunan dari hasil hegemoni kapitalis. Islam solusi terhadap persoalan negeri... --&gt; #UUIKNMendzalimiRakyat,0
2022-01-27,Buat apa bangun dan pindah rumah kalau duitnya hutang riba. &gt;&gt; #AyoTolakUUIKN &gt;&gt; Tolak UU IKN,0
2022-01-27,"Rakyat patut waspada, ada kapitalis kapitalis rakus dibalik pindah nya ibu kota !! #UUIKNMendzalimiRakyat !! IKN Proyek Oligarki",0
2022-01-27,IKN proyek ugal-ugalan para elit politik &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #r08n,0
2022-01-27,Tidak ada korelasi antara pemindahan ibu kota dengan meningkatnya kesejahteraan rakyat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,"#UUIKNMendzalimiRakyat 

Rakyat beli minyak aja susah.. Tiba-tiba mau pindah Ibukota IKN Proyek Oligarki",0
2022-01-27,Kenapa rezim ini ngotot dengan pemindahan ibu kota baru ya? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #vg8z,0
2022-01-27,Dari semua kesusahan makan tidak lain alasan kita harus menolak hal tersebut @mouslim_dNews &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,Undang-undang Ibu Kota Negara tersebut membuat APBN bengkak.. --&gt; #UUIKNMendzalimiRakyat &lt;--  #lujn,0
2022-01-27,Tolak Pindah IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt;,0
2022-01-27,"#AyoTolakUUIKN 

Rakyat sudah menderita Jangan ditambahin penderitaan baru. Tolak UU IKN",0
2022-01-27,"Pemindahan ibu kota negara adalah proyek oligarki, wajib ditolak oleh semua rakyat &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,"Masih banyak yg perlu dibenahi, rakyat masih banyak yg menderita, pindah IKN buru2 pakai APBN atau Hutang, tetap saja ujungnya Rakyat yang menderita. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #0joi",0
2022-01-27,Akhirnya rakyat juga yang akan menanggung hutang mega proyek IKN. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #quyj,0
2022-01-27,UU IKN seolah olah seperti pesanan asing. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #aud5,0
2022-01-27,"IKN bukan hanya kepentingan internal kekuasaan,tapi kepentingan GLOBAL untuk memperpanjang hegemoni terhdp indonesia. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,UU IKN menambah deretan kebijakan pemerintah yang diputuskan secara serampangan dan dipaksakan. !! #AyoTolakUUIKN !! #UUIKNMeresahkan,0
2022-01-27,IKN adalah proyek ambisius yang dipaksakan realisasinya &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #k1vp,0
2022-01-27,Deforestasi masif pasti akan dilakukan jika proyek ini berjalan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Proyek IKN ini hanya akan menyengsarakan masyarakat secara luas. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #xkuj,0
2022-01-27,"#AyoTolakUUIKN 

Pengusaha untung menggunung, Rakyat Buntung Tolak UU IKN",0
2022-01-27,"Oligarki menjadi think tank dari pemindahan ibu kota.

#AyoTolakUUIKN
Tolak UU IKN

https://t.co/Xh2Ah2c2Nl https://t.co/6KShzeduPy",0
2022-01-27,"Tolak UU IKN sejatinya merugikan negara secara besar-besaran. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; 

#uxzt",0
2022-01-27,Sebagai rakyat kita harus speak up atas ketidakadilan ini. &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; IKN Proyek Oligarki,0
2022-01-27,UU IKN adalah produk para kapitalis yang serakah. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #htdm,0
2022-01-27,Rakyat akan semakin diperas lewat pajak yang akan membiayai proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #r74t,0
