source,tweet,stemming,label
Twitter Web App,"Dari berbagai kesulitan menimpa umat di negeri ini. Bisa-bisanya melakukan pemborosan lewan Proyek IKN

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki","['sulit', 'timpa', 'umat', 'negeri', 'bisabisanya', 'boros', 'lewan', 'proyek', 'ikn', 'ikn', 'proyek', 'oligarki']",-1
Twitter for Android,Tolak UU IKN karena berpotensi merusak lingkungan dan tidak ada manfaat bagi masyarakat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['tolak', 'uu', 'ikn', 'potensi', 'rusak', 'lingkung', 'manfaat', 'masyarakat', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,Rakyat sengsara dengan UU IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #v9uq,"['rakyat', 'sengsara', 'uu', 'ikn', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,Rakyat sengsara dengan UU IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,"['rakyat', 'sengsara', 'uu', 'ikn', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter Web App,Kepindahan IKN Bukan Demi Rakyat Tapi Demi Oligarki https://t.co/kEAlK4TgA5 &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #ma3r,"['pindah', 'ikn', 'rakyat', 'oligarki', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,Daripada memindahkan ibu kota negara lebih baik mengupayakan kesejahteraan masyarakat luas. !! #AyoTolakUUIKN !! Tolak UU IKN,"['pindah', 'kota', 'negara', 'upaya', 'sejahtera', 'masyarakat', 'luas', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,"Proyek IKN menelan 466T yang sebagian besar dananya dari PEN (Pemulihan Ekonomi Nasional), trus buat rakyat apa ? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;","['proyek', 'ikn', 'tel', 'dana', 'pengin', 'pulih', 'ekonomi', 'nasional', 'rakyat', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; IKN Proyek Oligarki,"['ikn', 'jalan', 'panjang', 'sempurna', 'jajah', 'kaffah', 'gtgt', 'gtgt', 'ikn', 'proyek', 'oligarki']",-1
Twitter Web App,Daripada memindahkan ibu kota negara lebih baik mengupayakan kesejahteraan masyarakat luas. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #aykz,"['pindah', 'kota', 'negara', 'upaya', 'sejahtera', 'masyarakat', 'luas', 'gtgt', 'ltlt']",-1
Twitter Web App,"Bukan hanya rugi,tapi rakyat akan di jadikan sapi perah di negeri sendiri. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;","['rugitapi', 'rakyat', 'jadi', 'sapi', 'perah', 'negeri', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,"Proyek IKN berpotensi besar membebani APBN dalam waktu lama, yang dirugikan lagi2 rakyat. Maka harus di tolak &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;","['proyek', 'ikn', 'potensi', 'beban', 'apbn', 'rugi', 'rakyat', 'tolak', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,Lu waras mau pindah ibu kota? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt; https://t.co/a5bC8L6Bn1,"['waras', 'pindah', 'kota', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,UU IKN mengancam kelestarian flora fauna Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #unng,"['uu', 'ikn', 'ancam', 'lestari', 'flora', 'fauna', 'kalimantan', 'gtgt', 'ltlt']",-1
Twitter for Android,UU IKN adalah produk para kapitalis yang serakah. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['uu', 'ikn', 'produk', 'kapitalis', 'serakah', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,UU IKN adalah jalan mulus melegalkan kehancuran ekologi ekosistem Kalimantan Timur. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['uu', 'ikn', 'jalan', 'mulus', 'legal', 'hancur', 'ekologi', 'ekosistem', 'kalimantan', 'timur', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,"UU IKN hanya utk golongan tertentu saja

#UUIKNMendzalimiRakyat  #StopKebijakanDzalim","['uu', 'ikn', 'golong']",-1
Twitter for Android,"Beban biaya menggunakan apbn, yang ujung-ujungnya adalah menambah beban rakyat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;","['beban', 'biaya', 'apbn', 'ujungujungnya', 'tambah', 'beban', 'rakyat', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter Web App,Oligarki berbahaya bagi semua makhluk hidup &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #q092,"['oligarki', 'bahaya', 'makhluk', 'hidup', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn']",-1
Twitter for Android,Katanya demokratis tapi pendapat rakyat kok dikesampingkan? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['demokratis', 'dapat', 'rakyat', 'samping', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,"#AyoTolakUUIKN 

UU IKN menambah deretan kebijakan pemerintah yang diputuskan secara serampangan dan dipaksakan. #UUIKNMeresahkan","['uu', 'ikn', 'tambah', 'deret', 'bijak', 'perintah', 'putus', 'serampang', 'paksa']",-1
Twitter Web App,"Omong kosong keadilan bagi seluruh rakyat, yang ada keadilan bagi oligarki doang. !! #AyoTolakUUIKN !! Tolak UU IKN","['omong', 'kosong', 'adil', 'rakyat', 'adil', 'oligarki', 'doang', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,Proyek oligarki IKN adalah wujud nyata kedzaliman sistem kapitalisme &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #9olp,"['proyek', 'oligarki', 'ikn', 'wujud', 'kedzaliman', 'sistem', 'kapitalisme', 'gtgt', 'ltlt']",-1
Twitter Web App,UU IKN ini tak bisa ditolerir lagi. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,"['uu', 'ikn', 'tolerir', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter Web App,Oligarki pemilik modal dan bonekanya pasti untung. Rakyat yg bayar pasti buntung bin sengsara. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['oligarki', 'milik', 'modal', 'boneka', 'untung', 'rakyat', 'bayar', 'buntung', 'bin', 'sengsara', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,"Rakyat jelata berjuang mati Matian untuk menyambung hidup, pemerintah kok malah makin meningkatkan hutang negara? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;","['rakyat', 'jelata', 'juang', 'mati', 'mati', 'sambung', 'hidup', 'perintah', 'tingkat', 'hutang', 'negara', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,Rakyat akan semakin tercekik dengan pajak dan utang yang dibebankan utk proyek IKN. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['rakyat', 'cekik', 'pajak', 'utang', 'beban', 'proyek', 'ikn', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,Proyek IKN mengancam keutuhan ekologi dan lingkungan Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #lofg,"['proyek', 'ikn', 'ancam', 'utuh', 'ekologi', 'lingkung', 'kalimantan', 'gtgt', 'ltlt']",-1
Twitter Web App,IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. --&gt;#UUIKNMendzalimiRakyat &lt;-- #yudv,"['ikn', 'jalan', 'panjang', 'sempurna', 'jajah', 'kaffah', 'lantai']",-1
Twitter Web App,Bagaimana pemerintah bisa menjamin hak masyarakat asli dan penduduk yang terdampak proyek IKN. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['perintah', 'jamin', 'hak', 'masyarakat', 'asli', 'duduk', 'dampak', 'proyek', 'ikn', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,Pemindahan ibu kota seakan-akan dipaksakan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['pindah', 'kota', 'seakanakan', 'paksa', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,UU IKN seolah-olah menjadi peraturan yang dipaksakan pengesahannya. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #593d,"['uu', 'ikn', 'seolaholah', 'atur', 'paksa', 'kesah', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,"Pengusaha untung menggunung, Rakyat Buntung !! #AyoTolakUUIKN !! Tolak UU IKN","['usaha', 'untung', 'gunung', 'rakyat', 'buntung', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,"Pemindahan ibu kota negara adalah proyek oligarki, wajib ditolak oleh semua rakyat &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;","['pindah', 'kota', 'negara', 'proyek', 'oligarki', 'wajib', 'tolak', 'rakyat', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter Web App,Semoga proyek memubazirkan uang rakyat ini segera dihentikan secepatnya. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['moga', 'proyek', 'mubazir', 'uang', 'rakyat', 'henti', 'cepat', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,"IKN menguntungkan oligarki tapi membingungkan rakyat banyak &gt;&gt; #AyoTolakUUIKN &lt;&lt; 

#10sk","['ikn', 'untung', 'oligarki', 'bingung', 'rakyat', 'gtgt', 'ltlt']",-1
Twitter for Android,UU IKN yang telah disahkan oleh pemerintah harus dikoreksi dan ditolak. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['uu', 'ikn', 'sah', 'perintah', 'koreksi', 'tolak', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,"Kami rakyat serdang bedagai tolak IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; 

#8kxm","['rakyat', 'serdang', 'bedagai', 'tolak', 'ikn', 'gtgt', 'ltlt']",-1
Twitter for Android,Meski ribuan masyarakat resah proyek IKN tetap berlangsung. --&gt; #AyoTolakUUIKN &lt;--  #jn6p,"['ribu', 'masyarakat', 'resah', 'proyek', 'ikn', 'lantai']",-1
Twitter for Android,Anggaran gede manfa'at minim &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #29rc,"['anggar', 'gede', 'manfaat', 'minim', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki']",-1
Twitter for Android,"Rakyat patut waspada, ada kapitalis kapitalis rakus dibalik pindah nya ibu kota &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;","['rakyat', 'patut', 'waspada', 'kapitalis', 'kapitalis', 'rakus', 'balik', 'pindah', 'kota', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,UU IKN mengancam kelestarian flora fauna Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['uu', 'ikn', 'ancam', 'lestari', 'flora', 'fauna', 'kalimantan', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,Proyek IKN yang ratusan trilyun akan menambah beban rakyat dengan hutang yang sudah ribuan trilyun &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['proyek', 'ikn', 'ratus', 'trilyun', 'tambah', 'beban', 'rakyat', 'hutang', 'ribu', 'trilyun', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter Web App,Blm selesai membebani rakyat? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #swkj,"['selesai', 'beban', 'rakyat', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,"#UUIKNMendzalimiRakyat 

Yang diharapkan oleh rakyat adalah kesejahteraan dan kemakmuran bukan pemindahan ibu kota. IKN Proyek Oligarki","['harap', 'rakyat', 'sejahtera', 'makmur', 'pindah', 'kota', 'ikn', 'proyek', 'oligarki']",-1
Twitter for Android,Sebenarnya ibukota baru ini buat siapa sih? &gt;&gt; #AyoTolakUUIKN &gt;&gt; Tolak UU IKN,"['ibukota', 'gtgt', 'gtgt', 'tolak', 'uu', 'ikn']",-1
Twitter for Android,Semua orang juga tahu kalau proyek ini adalah proyek bodong yang justru akan membuat rakyat celaka dan menderita. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['proyek', 'proyek', 'bodong', 'rakyat', 'celaka', 'derita', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,"Proyek IKN memang menggiurkan tapi tidak untuk rakyat#AyoTolakUUIKN
#StopKebijakanDzalim
#UUIKNMendzalimiRakyat
#UUIKNMeresahkan
#IKNProyekOligarki
#TolakUUIKN","['proyek', 'ikn', 'giur', 'rakyat']",-1
Twitter Web App,"Proyek IKN hanya menguntungkan Oligarki, tanpa memikirkan beban hidup masyarakat yang kian sekarat. --&gt; #AyoTolakUUIKN","['proyek', 'ikn', 'untung', 'oligarki', 'pikir', 'beban', 'hidup', 'masyarakat', 'kian', 'sekarat']",-1
Twitter for Android,"Sudah banyak ahli menyampaikan ketidak layakan tempat ibu kota baru tapi tidak dihiraukan, ini semua karena hegemoni kapitalis untuk proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;","['ahli', 'tidak', 'layak', 'kota', 'hirau', 'hegemoni', 'kapitalis', 'proyek', 'ikn', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,"#UUIKNMendzalimiRakyat 

Rakyat akan semakin diperas lewat pajak yang akan membiayai proyek IKN #StopKebijakanDzalim","['rakyat', 'peras', 'pajak', 'biaya', 'proyek', 'ikn']",-1
Twitter Web App,Undang-Undang IKN terlalu cepat diputuskan tanpa adanya partisipasi publik --&gt; #UUIKNMendzalimiRakyat &lt;--  #g3ko,"['undangundang', 'ikn', 'cepat', 'putus', 'partisipasi', 'publik', 'lantai']",-1
Twitter Web App,Mustahil jika Pemindahan Ibu Kota ini tidak dijadikan proyek yang menguntungkan para oligarki. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['mustahil', 'pindah', 'kota', 'jadi', 'proyek', 'untung', 'oligarki', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,Proyek IKN wujud nyata cengkeraman pemilik modal atas penguasa. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['proyek', 'ikn', 'wujud', 'cengkeram', 'milik', 'modal', 'kuasa', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,UU IKN unfaedah. malah akan menjadi kanker yang akan menggerogoti negeri ini dengan berbagai permasalahan turunan dari realisasi proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['uu', 'ikn', 'unfaedah', 'kanker', 'gerogot', 'negeri', 'masalah', 'turun', 'realisasi', 'proyek', 'ikn', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter Web App,trus kalau gagal bayar utang IKN gmn? &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #zv7e,"['gagal', 'bayar', 'utang', 'ikn', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki']",-1
Twitter for Android,"IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. &gt;&gt; #UUIKNMendzalimiRakyat 
&lt;&lt; #StopKebijakanDzalim &gt;&gt;","['ikn', 'jalan', 'panjang', 'sempurna', 'jajah', 'kaffah', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,UU IKN unfaedah. malah akan menjadi kanker yang akan menggerogoti negeri ini dengan berbagai permasalahan turunan dari realisasi proyek IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['uu', 'ikn', 'unfaedah', 'kanker', 'gerogot', 'negeri', 'masalah', 'turun', 'realisasi', 'proyek', 'ikn', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter Web App,trus kalau gagal bayar utang IKN gmn? &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki #zv7e,"['gagal', 'bayar', 'utang', 'ikn', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki']",-1
Twitter Web App,UU IKN disahkan tanpa persetujuan rakyat. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['uu', 'ikn', 'sah', 'tuju', 'rakyat', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,"UU IKN hanya utk golongan tertentu saja

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki","['uu', 'ikn', 'golong', 'ikn', 'proyek', 'oligarki']",-1
Twitter for Android,Rakyat akan semakin tercekik dengan pajak dan utang yang dibebankan utk proyek IKN. &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; IKN Proyek Oligarki,"['rakyat', 'cekik', 'pajak', 'utang', 'beban', 'proyek', 'ikn', 'gtgt', 'gtgt', 'ikn', 'proyek', 'oligarki']",-1
Twitter for Android,Kami rakyat serdang bedagai tolak IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['rakyat', 'serdang', 'bedagai', 'tolak', 'ikn', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,"Rakyat jelata berjuang mati Matian untuk menyambung hidup, pemerintah kok malah makin meningkatkan hutang negara? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;","['rakyat', 'jelata', 'juang', 'mati', 'mati', 'sambung', 'hidup', 'perintah', 'tingkat', 'hutang', 'negara', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,"Tidak habis pikir, meski penolakan² &amp; berbagai pandangan dilontarkan tentang dampak buruk dari pindahnya IKN, namun pemerintah tetep kekeh untuk segera merealisasikannya, ono opo toh???
#AyoTolakUUIKN
#UUIKNMendzalimiRakyat","['habis', 'pikir', 'tolak', 'pandang', 'lontar', 'dampak', 'buruk', 'pindah', 'ikn', 'perintah', 'kekeh', 'realisasi', 'sono', 'opo']",-1
Twitter Web App,"Ya Allah, jadikanlah kaum muslimin menjadi sadar akan syariah Mu, hingga mereka menjadi ghirah untuk perjuangan ini.  #AyoTolakUUIKN #UUIKNMeresahkan Tolak UU IKN #qoaj","['allah', 'jadi', 'kaum', 'muslimin', 'sadar', 'syariah', 'mu', 'ghirah', 'juang', 'tolak', 'uu', 'ikn']",-1
dlvr.it,"Bahlil menyebut kementeriannya menjadi garda terdepan ihwal investasi untuk pembangunan ibu kota baru. Sebab, semua modal terutama dari asing, masuk lewat kementeriannya. https://t.co/jaZAbKRWB4","['bahlil', 'sebut', 'menteri', 'garda', 'depan', 'ihwal', 'investasi', 'bangun', 'kota', 'modal', 'asing', 'menteri']",1
WordPress.com,"Kawal Proses Pemindahan Ibu Kota Negara ke Kaltim, MPR Susun TAP MPR https://t.co/26f4Lw0JTp","['kawal', 'proses', 'pindah', 'kota', 'negara', 'kaltim', 'mpr', 'susun', 'tapmpr']",1
Twitter for Android,IKN hanya menguntungkan para kaum kapitalis &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['ikn', 'untung', 'kaum', 'kapitalis', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,Semua rakyat harus sadar dan menolak UU IKN ini. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,"['rakyat', 'sadar', 'tolak', 'uu', 'ikn', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,Proyek IKN mengancam keutuhan ekologi dan lingkungan Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #vz4z,"['proyek', 'ikn', 'ancam', 'utuh', 'ekologi', 'lingkung', 'kalimantan', 'gtgt', 'ltlt']",-1
Twitter Web App,UU IKN disinyalir sebagai wujud pemutihan dosa-dosa korporasi di Kalimantan Timur. --&gt; #UUIKNMendzalimiRakyat,"['uu', 'ikn', 'sinyalir', 'wujud', 'mutih', 'dosadosa', 'korporasi', 'kalimantan', 'timur']",-1
Twitter Web App,Tolak pindah nya ibu kota Dukung diterapkanya penerapan syariah di ibukota yang ada !! #AyoTolakUUIKN !! Tolak UU IKN,"['tolak', 'pindah', 'kota', 'dukung', 'diterapkanya', 'terap', 'syariah', 'ibukota', 'tolak', 'uu', 'ikn']",-1
Twitter for Android,"Beginilah wujud nyata pemimpin yang dihasilkan oleh sistem demokrasi.

#AyoTolakUUIKN
Tolak UU IKN","['wujud', 'pimpin', 'hasil', 'sistem', 'demokrasi', 'tolak', 'uu', 'ikn']",-1
Twitter Web App,IKN proyek ugal-ugalan para elit politik &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['ikn', 'proyek', 'ugalugalan', 'elit', 'politik', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter Web App,UU IKN = Ugal-Ugalan IKN &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,"['uu', 'ikn', 'ugalugalan', 'ikn', 'gtgt', 'ltlt', 'gtgt']",-1
Twitter for Android,"Masih banyak yg perlu dibenahi, rakyat masih banyak yg menderita, pindah IKN buru2 pakai APBN atau Hutang, tetap saja ujungnya Rakyat yang menderita. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #entj","['benah', 'rakyat', 'derita', 'pindah', 'ikn', 'buru', 'pakai', 'apbn', 'hutang', 'ujung', 'rakyat', 'derita', 'gtgt', 'ltlt']",-1
Twitter Web App,Sebenarnya mereka digaji untuk apa? para elit politik gajinya dari mana? yuuk tolak rame-rame pemindahan ibukota... !! #AyoTolakUUIKN !! Tolak UU IKN,"['gaji', 'elit', 'politik', 'gaji', 'tolak', 'ramerame', 'pindah', 'ibukota', 'tolak', 'uu', 'ikn']",-1
Twitter for Android,"Rakyat butuh kesejahteraan, bukan ibu kota baru &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;","['rakyat', 'butuh', 'sejahtera', 'kota', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
